id_direccion,calle,codigo_postal,provincia,pais,id_pais
0,Vial Iris Calvet,27062,Cádiz,Spain,141
1,Plaza Saturnina Barrios,20222,Teruel,Mauritius,32
2,Pasaje Herberto Fernández,38430,Las Palmas,Gabon,18
3,Avenida de Martín Gual,03517,Cuenca,Jordan,70
4,Paseo Natalia Agullo,34105,Melilla,Seychelles,41
5,Rambla Irma Llamas,17101,Cáceres,Mauritius,32
6,Paseo Natalia Blázquez,15950,Alicante,Senegal,40
7,Glorieta de Simón Pérez,04831,Badajoz,Kyrgyzstan,75
8,Cañada Marisa Expósito,20462,Teruel,Dominica,154
9,Pasadizo de Florentina Ibarra,42225,Ciudad,Cyprus,110
10,Paseo de Perlita Espejo,30036,Albacete,Bolivia,185
11,Calle de Isidora Valbuena,08562,Guadalajara,Mozambique,34
12,Alameda de Bibiana Cuevas,46553,Soria,Ethiopia,17
13,Plaza Artemio Doménech,42124,Melilla,Angola,1
14,Plaza de Consuela Bertrán,17300,La Coruña,Estonia,113
15,Vial de Milagros Galindo,13408,Valladolid,Algeria,0
16,Urbanización de Jenaro Lladó,35752,Baleares,Malawi,29
17,Paseo de Josep Oliva,11903,Zamora,Guatemala,158
18,Paseo Celso Gordillo,10342,Cádiz,Belize,150
19,Acceso de Mayte Ramis,25518,Baleares,Georgia,116
20,Acceso de Leandro Ramirez,27293,Toledo,Syria,90
21,Calle Trinidad Roig,52068,Málaga,United States,169
22,C. de Asdrubal Pedro,28964,Palencia,Pakistan,83
23,Alameda Leticia Naranjo,39088,Vizcaya,Bulgaria,108
24,Alameda Matías Hoyos,27986,Melilla,Djibouti,13
25,Alameda de Paloma Plaza,38743,La Coruña,United Arab Emirates,96
26,Rambla Violeta Rius,12863,Granada,Bolivia,185
27,C. María Toro,13265,Salamanca,Benin,2
28,Avenida de Estrella Guardia,49118,Badajoz,Vatican City,146
29,C. de Luciano López,05140,Granada,Tuvalu,182
30,Camino de Rosendo Maestre,18376,León,Egypt,14
31,Via de Leire Tena,11263,Ourense,Albania,100
32,Via Mercedes Benavente,50204,La Rioja,Burma (Myanmar),59
33,Urbanización Eulalia Galvez,27638,Cádiz,Venezuela,195
34,Via de Cristóbal Alcántara,13818,Zamora,Uzbekistan,97
35,Glorieta de Abraham Márquez,48570,Murcia,Honduras,160
36,Plaza Nazaret Calleja,04447,Córdoba,South Sudan,45
37,C. de Rubén Padilla,48838,Málaga,Burundi,5
38,Via de Manu Salvador,39495,Málaga,Maldives,79
39,Urbanización Albina Duran,05525,La Coruña,Comoros,10
40,Glorieta de Herberto Arroyo,48282,Melilla,Qatar,85
41,Ronda de Valentina Diaz,18207,Lleida,Iraq,67
42,Alameda Anabel Posada,24737,Barcelona,Bahamas,148
43,Callejón Tomasa Simó,36376,Castellón,Costa Rica,152
44,Vial de Corona Galán,11358,Zamora,Portugal,135
45,Callejón Pacífica Pino,03025,Vizcaya,Netherlands,132
46,Ronda de Maxi Cobos,09850,Melilla,Lebanon,77
47,Ronda Amor Reina,06089,La Coruña,Benin,2
48,Alameda Porfirio Morell,22398,Cáceres,Namibia,35
49,C. Marisol Tenorio,32681,Salamanca,Burundi,5
50,Paseo Jose Antonio Mármol,39842,León,Malta,128
51,Alameda de Encarnacion Medina,31186,Valladolid,United States,169
52,Cuesta Victorino Garcia,20885,Córdoba,Bahamas,148
53,Urbanización Gertrudis Lozano,18498,Jaén,Azerbaijan,104
54,Plaza de Carmina Bernal,34289,Burgos,Kiribati,172
55,Camino Soledad Amores,05054,Soria,Mali,30
56,Cuesta de Camila Gabaldón,31381,Guadalajara,Burundi,5
57,Alameda de Miguela Perales,15208,La Coruña,Dominica,154
58,Paseo Rolando Prats,34626,Santa Cruz de Tenerife,Cuba,153
59,Alameda de Áurea Casares,02262,Las Palmas,Solomon Islands,180
60,Calle Abril Lucas,07387,Cáceres,Central African Republic,8
61,C. Florinda Pallarès,04322,Salamanca,Saint Lucia,166
62,Acceso de Diana Rivas,30483,Las Palmas,Saint Vincent and the Grenadines,167
63,Alameda Josefina Vazquez,28760,Toledo,Palau,177
64,Paseo Fermín Moya,09580,Segovia,Moldova,129
65,Rambla Marcio Godoy,40985,Valencia,Argentina,184
66,Acceso Roldán Ojeda,15330,León,Greece,118
67,Rambla de Juliana Feijoo,47202,Cuenca,Cambodia,60
68,Pasadizo Elba Carnero,34387,Albacete,Angola,1
69,C. de Jessica Azcona,05384,La Coruña,Syria,90
70,Pasaje Baudelio Gallo,12377,Santa Cruz de Tenerife,Croatia,109
71,C. de Anita Marin,50450,Baleares,Gambia,19
72,C. de María Fernanda Piña,10858,Cáceres,Switzerland,143
