nro_voluntario,fecha_inicio,fecha_fin,id_tarea,id_institucion
1,2012-10-21,2013-10-21,BKPYNNGJ95,789
2,2004-12-18,2008-12-17,KYMYXXBG12,707
3,2003-05-16,2006-05-15,KTTFAWOY98,165
4,2003-07-12,2006-07-11,BYTBCRZC48,274
5,2004-05-12,2005-05-12,KYMYXXBG12,902
6,2016-10-19,2018-10-19,WNPNJEVG54,436
7,2013-04-28,2016-04-27,WMKDXHSR24,823
8,2003-11-18,2007-11-17,IARTAFFX51,550
9,2014-12-24,2016-12-23,FXBBRXLA68,638
10,2006-07-11,2009-07-10,CNBXSFUK32,350
11,2004-08-17,2008-08-16,HCGYSNUO39,647
12,2011-03-17,2015-03-16,EGAOTNUP26,986
13,1995-02-16,1999-02-15,HHVSSPRU02,307
14,1997-12-18,2001-12-17,CRBJGTZW91,761
15,1991-08-22,1995-08-21,UVWIZKBU76,537
16,2012-04-22,2013-04-22,OUJAANOC36,332
17,1993-03-18,1995-03-18,NABVVCGM82,82
18,2019-10-04,2023-10-03,KYMYXXBG12,138
19,2007-12-10,2010-12-09,JJVQUHRW53,47
20,1998-06-23,1999-06-23,KEMPSJTD69,839
21,2011-01-05,2014-01-04,YZREKOQZ47,795
22,2015-01-10,2017-01-09,DMQCJNTB96,619
23,2002-10-14,2004-10-13,AQCASZAA33,432
24,2020-02-27,2021-02-26,UBGNXJVT90,415
25,2008-01-18,2011-01-17,WVPSKOMR97,21
26,1995-06-28,1997-06-27,USPEMRXK50,145
27,2003-11-15,2005-11-14,ORWFNHSL71,271
28,2020-02-03,2021-02-02,VXQKRIOB08,223
29,2008-10-19,2010-10-19,NVIVZOXU73,692
30,2003-12-04,2005-12-03,UGJXFRYZ41,168
31,1993-12-15,1996-12-14,QTJJSKOG70,244
32,2019-05-15,2021-05-14,YPXJAUSM79,582
33,2011-07-13,2015-07-12,YGMGOUFM45,250
34,2005-09-13,2007-09-13,FEQHPXWD91,844
35,1993-06-10,1996-06-09,YVGZASAC07,282
36,2001-08-10,2004-08-09,BMLBGRND02,55
37,1992-02-14,1993-02-13,KOQGXORU43,884
38,2018-06-27,2020-06-26,LHWIEHSQ56,862
39,1993-12-02,1996-12-01,BYTBCRZC48,657
40,2003-10-28,2005-10-27,EGAOTNUP26,974
41,2018-06-20,2021-06-19,WNPNJEVG54,93
42,2013-06-26,2017-06-25,TLYDOWYM85,71
43,2018-03-16,2022-03-15,VDHJSKYC98,470
44,1992-01-17,1994-01-16,BLCQSTLQ47,721
45,2017-04-07,2018-04-07,XBPSIEVT36,830
46,1993-05-02,1995-05-02,BKPYNNGJ95,472
47,2007-01-06,2011-01-05,XBPSIEVT36,760
48,2005-07-16,2008-07-15,CIWKKMEC00,962
49,2019-08-26,2020-08-25,DNUWOIGC87,236
50,1999-08-22,2003-08-21,GSBEXPLO57,67
51,2019-05-17,2023-05-16,BLCQSTLQ47,979
52,2015-07-11,2019-07-10,VNUVKIZK02,914
53,1999-05-18,2002-05-17,SLZAJREK70,907
54,1997-10-13,2000-10-12,GSBEXPLO57,347
55,1994-05-07,1996-05-06,OMLIYZVX38,131
56,1999-03-25,2002-03-24,KOQGXORU43,429
57,2013-10-02,2016-10-01,KYMYXXBG12,315
58,2015-09-27,2016-09-26,KGWVYNSA31,355
59,1990-04-05,1994-04-04,EGAOTNUP26,421
60,1992-05-02,1993-05-02,CYKXKSHI67,478
61,2015-08-15,2018-08-14,KYMYXXBG12,759
62,1999-04-02,2002-04-01,OHMKFOXX18,549
63,2010-09-28,2011-09-28,GVFJGIEU59,459
64,2016-01-27,2017-01-26,LUQPGNON78,181
65,2006-08-07,2008-08-06,YYCMCTXR62,669
66,2012-01-11,2013-01-10,HEFSBMMM10,560
67,2012-10-06,2013-10-06,DNUWOIGC87,186
68,1997-01-28,2000-01-28,ROPIKGME60,285
69,2004-03-23,2007-03-23,TOUBFVJK13,493
70,2005-07-20,2009-07-19,VXQKRIOB08,807
71,1992-02-08,1993-02-07,VNUVKIZK02,938
72,2006-01-07,2009-01-06,BMLBGRND02,892
73,1995-11-19,1996-11-18,LZJQKBND72,683
74,1999-10-27,2001-10-26,ROPIKGME60,799
75,1992-12-01,1994-12-01,YVGZASAC07,730
76,2009-12-12,2011-12-12,GZMZOMHR64,475
77,1995-05-05,1997-05-04,EJSBCWZN53,678
78,1999-11-13,2000-11-12,YYCMCTXR62,370
79,2011-06-20,2015-06-19,YGMGOUFM45,52
80,1991-12-24,1993-12-23,PDKDYDIR92,918
81,1997-03-15,2001-03-14,CIWKKMEC00,972
82,2000-07-19,2001-07-19,DNUWOIGC87,193
83,2008-06-19,2009-06-19,BXUIBWWG95,978
84,2011-04-03,2014-04-02,XVSTQESU48,546
85,2002-06-14,2003-06-14,HCGYSNUO39,150
86,1996-10-09,1997-10-09,CRBJGTZW91,186
87,1993-04-19,1996-04-18,CCINTUOP48,182
88,2019-06-25,2023-06-24,JJVQUHRW53,159
89,2004-06-01,2008-05-31,OXXCRXFX31,919
90,2001-03-10,2002-03-10,EGAOTNUP26,566
91,2011-05-16,2013-05-15,CIWKKMEC00,725
92,1996-01-06,2000-01-05,XVSTQESU48,812
93,1993-01-16,1997-01-15,KGWVYNSA31,639
94,1999-01-16,2002-01-15,UBGNXJVT90,303
95,2018-02-05,2020-02-05,SDETFZWU63,396
96,2012-10-20,2014-10-20,VNUVKIZK02,414
97,1996-07-06,1997-07-06,LZJQKBND72,811
98,2018-04-16,2020-04-15,BKPYNNGJ95,171
99,2005-04-01,2006-04-01,SBSVRAJX26,328
100,2007-04-12,2010-04-11,YPCFPMJQ10,802
101,2016-01-16,2017-01-15,JWAHXXXB96,565
102,2000-01-07,2004-01-06,LGEDBCZG06,243
103,2006-09-06,2008-09-05,UBGNXJVT90,690
104,2020-10-27,2022-10-27,OXXCRXFX31,527
105,1997-11-28,1998-11-28,CRBJGTZW91,757
106,1998-12-03,1999-12-03,YVGZASAC07,350
107,1995-02-18,1998-02-17,EJSBCWZN53,175
108,2006-12-14,2007-12-14,QJSSUQXQ29,507
109,2001-08-15,2004-08-14,XVSTQESU48,554
110,2013-04-09,2016-04-08,UBGNXJVT90,567
111,2004-09-05,2006-09-05,YCPCXAMZ42,43
112,1990-09-21,1992-09-20,OXXCRXFX31,924
113,2000-12-11,2002-12-11,UFOTOVKW05,797
114,2004-02-11,2008-02-10,IJZHWLLW65,773
115,2000-02-22,2004-02-21,JPBVKRYN96,484
116,2018-04-01,2021-03-31,YGMGOUFM45,418
117,1991-01-24,1994-01-23,AQCASZAA33,632
118,2001-06-05,2005-06-04,PDKDYDIR92,1000
119,2017-05-14,2021-05-13,UVWIZKBU76,738
120,2009-09-10,2011-09-10,GHTHJDFM59,238
121,2015-02-24,2019-02-23,GZMZOMHR64,572
122,2018-01-12,2019-01-12,IBGWELZC81,310
123,2001-11-11,2004-11-10,YVGZASAC07,756
124,1992-12-05,1993-12-05,OOGSYIWP08,831
125,2001-05-09,2003-05-09,GAQBUOME10,964
126,1992-11-04,1993-11-04,CNBXSFUK32,257
127,2005-10-10,2009-10-09,JJVQUHRW53,398
128,2017-07-26,2018-07-26,OHMKFOXX18,378
129,2016-05-21,2020-05-20,LHWIEHSQ56,572
130,2008-10-17,2010-10-17,TOUBFVJK13,341
131,2018-06-25,2019-06-25,OUJAANOC36,451
132,2007-11-25,2010-11-24,HCGYSNUO39,529
133,2014-12-19,2016-12-18,REOKBGFC42,251
134,2004-07-14,2008-07-13,YPCFPMJQ10,607
135,2000-06-11,2003-06-11,NABVVCGM82,640
136,2011-11-18,2015-11-17,PDKDYDIR92,476
137,2000-01-10,2001-01-09,WHSVDEON49,218
138,2017-05-01,2019-05-01,DNUWOIGC87,134
139,2005-10-06,2008-10-05,HEFSBMMM10,706
140,2011-01-08,2015-01-07,GSYUCMYB50,834
141,1999-11-24,2002-11-23,VNUVKIZK02,253
142,2020-10-13,2024-10-12,UVWIZKBU76,903
143,2005-09-27,2006-09-27,BLCQSTLQ47,808
144,2001-03-03,2005-03-02,OHMKFOXX18,682
145,2020-11-05,2023-11-05,UGJXFRYZ41,436
146,2000-07-23,2004-07-22,ORWFNHSL71,856
147,2000-03-26,2001-03-26,TLYDOWYM85,586
148,1997-02-23,1998-02-23,WNPNJEVG54,282
149,2015-10-11,2018-10-10,YZREKOQZ47,800
150,2006-03-23,2008-03-22,DNUWOIGC87,3
151,1996-12-15,1997-12-15,NBXECSTW88,80
152,1990-04-01,1994-03-31,DMQCJNTB96,713
153,2004-04-28,2005-04-28,OOGSYIWP08,990
154,1995-05-18,1996-05-17,CIWKKMEC00,275
155,2004-10-26,2007-10-26,WNPNJEVG54,461
156,2016-08-18,2020-08-17,TOUBFVJK13,294
157,1992-03-03,1995-03-03,IJZHWLLW65,377
158,1997-11-24,2000-11-23,UBGNXJVT90,305
159,1990-12-09,1993-12-08,LGEDBCZG06,270
160,2012-11-17,2014-11-17,EVUNIPCL31,469
161,1990-05-04,1992-05-03,KYMYXXBG12,924
162,2016-03-12,2018-03-12,VDHJSKYC98,86
163,2015-01-04,2016-01-04,HEFSBMMM10,539
164,2004-12-01,2005-12-01,JWAHXXXB96,769
165,2006-07-17,2010-07-16,WNPNJEVG54,88
166,1992-04-28,1993-04-28,NVIVZOXU73,237
167,1990-07-03,1991-07-03,APOMKTNF83,740
168,2002-05-21,2005-05-20,HHVSSPRU02,349
169,2013-03-07,2017-03-06,OMLIYZVX38,272
170,1997-05-07,1998-05-07,LHWIEHSQ56,616
