id_institucion,nombre_institucion,id_director,id_direccion
1,Anglada y Mata S.Com.,10,224
2,Infante y asociados S.L.L.,429,942
3,Minería NTZ S.A.,590,79
4,Ricart y Gomez S.L.,1000,927
5,Distribuciones XEDI S.L.,483,577
6,Servicios Iberia S.L.N.E,319,160
7,Instalaciones LVTP S.Coop.,690,386
8,Novoa y Palomino S.A.,345,804
9,Ale Lago Blázquez S.A.T.,797,337
10,Roldan y asociados S.Com.,703,346
11,Grupo Colomer S.Com.,271,902
12,Familia Escalona S.L.,245,944
13,Hermanos Bas S.L.,908,271
14,Banca Privada del Noroeste S.A.,937,544
15,Banca Privada AGF S.L.L.,143,548
16,Familia Zamora S.A.,586,109
17,Compañía GFL S.L.N.E,105,319
18,Godoy y Ávila S.Com.,888,323
19,Industrias Arribas S.Coop.,761,590
20,Adadia y Acuña S.Com.,580,870
21,Alimentación Martínez S.A.,316,380
22,Zamora & Asociados S.A.U,83,605
23,Roberta Corbacho Mendoza S.Coop.,879,214
24,Suministros GOAZ S.A.,883,791
25,Familia Pedro S.L.,633,164
26,Restauración Solís S.A.,921,906
27,Servicios HJJR S.Coop.,911,223
28,Familia Galvez S.Coop.,289,602
29,Hnos Morales S.A.,592,415
30,Grupo Prat S.Com.,194,612
31,Banco Frías S.A.,945,663
32,Familia Vives S.Com.,548,62
33,Alimentación Españolas S.Com.,510,836
34,Instalaciones del Mediterráneo S.A.,19,760
35,Grupo Neira S.L.N.E,969,945
36,Construcción Palau S.L.,123,814
37,Industrias Alcolea S.Coop.,205,800
38,Inmobiliaria Sanabria S.Com.,398,35
39,Soluciones Pi y asociados S.Com.,436,356
40,José Manuel Ramis Guitart S.A.,411,114
41,Lisandro Castañeda Madrid S.L.,234,933
42,Campo & Asociados S.A.,40,472
43,Transportes YPDI S.C.P,445,745
44,Severo Valcárcel Alcalde S.L.,213,23
45,Sáez y Somoza S.L.,349,25
46,Rita Uribe Camino S.A.,336,110
47,Comercial Calvo y asociados S.Coop.,597,126
48,Servicios SP S.L.,157,878
49,Logística Mateu & Asociados S.A.U,691,534
50,Dani Casanova Lobo S.Com.,402,998
51,Minería PC S.L.,126,184
52,Comercial Herranz S.A.,925,839
53,Grupo Real S.Com.,219,512
54,Hnos Vendrell S.L.N.E,508,457
55,María Manuela Álvaro Amor S.Com.,730,503
56,Industrias Amador & Asociados S.A.,588,460
57,Banco Integrales S.L.,4,230
58,Carreño y Gallardo S.Coop.,9,88
59,Hnos Ortega S.L.N.E,18,487
60,Roldan & Asociados S.Coop.,734,711
61,Sevilla y Aparicio S.L.N.E,56,832
62,Finanzas Moles y asociados S.Coop.,374,822
63,José Barragán Linares S.Coop.,794,961
64,Hnos Vargas S.A.,190,424
65,Consultoría Palma y asociados S.A.,613,124
66,Ferrera y Roda S.Coop.,369,294
67,Olivares y asociados S.L.L.,834,767
68,Mateu & Asociados S.L.,749,552
