id_tarea,min_horas,max_horas
XBPSIEVT36,3,163
SBSVRAJX26,14,177
CXOOXSAG43,19,133
TOUBFVJK13,19,96
IARTAFFX51,20,128
BXUIBWWG95,13,118
LGEDBCZG06,11,158
GHTHJDFM59,2,144
JDYQSAHC90,9,74
TLYDOWYM85,8,116
VXQKRIOB08,14,72
CNBXSFUK32,10,190
JJVQUHRW53,9,191
CYKXKSHI67,12,70
EVUNIPCL31,17,65
GVFJGIEU59,5,155
NVIVZOXU73,1,151
BYTBCRZC48,11,163
KGWVYNSA31,10,73
NABVVCGM82,5,185
CCINTUOP48,20,130
YYCMCTXR62,8,128
OXXCRXFX31,18,133
DMQCJNTB96,20,70
LHWIEHSQ56,3,94
OLIRHRDP51,6,67
YVGZASAC07,5,118
HCGYSNUO39,10,133
LQSQJXZJ45,6,91
ROPIKGME60,10,141
FXBBRXLA68,13,137
HHVSSPRU02,3,175
KEMPSJTD69,6,61
DNUWOIGC87,19,66
YPCFPMJQ10,11,105
NJNTMGQH57,1,187
JPBVKRYN96,1,184
EJSBCWZN53,12,120
YPXJAUSM79,4,143
GSBEXPLO57,2,103
OOGSYIWP08,4,109
PDKDYDIR92,12,97
UGJXFRYZ41,17,185
YZREKOQZ47,2,168
YGMGOUFM45,17,162
RFNEQDWT31,7,190
ZMOTBKAE77,12,70
JWAHXXXB96,14,167
QJSSUQXQ29,19,144
CRBJGTZW91,1,140
KTTFAWOY98,9,152
XVCOQJCI55,19,103
VNUVKIZK02,11,155
YCPCXAMZ42,6,169
OHMKFOXX18,15,168
IDOWSZOK02,10,76
VDHJSKYC98,7,178
EGAOTNUP26,20,64
SLZAJREK70,11,87
LZFXPISP97,18,166
GAQBUOME10,11,70
WMKDXHSR24,17,174
GSYUCMYB50,19,120
SDETFZWU63,9,154
UBGNXJVT90,20,104
LZJQKBND72,3,68
APOMKTNF83,19,180
KYMYXXBG12,17,156
WVPSKOMR97,15,69
FEQHPXWD91,15,136
OMLIYZVX38,11,194
HEFSBMMM10,19,116
CZLGBHJH97,13,100
BMLBGRND02,6,94
QTJJSKOG70,16,151
TEDQTDBZ54,11,169
QECDBKCV20,7,145
QVPMBVUX64,12,177
IJZHWLLW65,12,193
CIWKKMEC00,1,185
XVSTQESU48,18,78
UFOTOVKW05,2,115
BLCQSTLQ47,15,132
ORWFNHSL71,3,135
AQCASZAA33,13,90
KOQGXORU43,4,147
NBXECSTW88,11,95
REOKBGFC42,20,188
BKPYNNGJ95,4,156
IBGWELZC81,1,65
LUQPGNON78,4,62
FYSMPRFI60,14,97
USPEMRXK50,17,63
VHUTDQQD02,2,198
OUJAANOC36,5,95
WNPNJEVG54,14,85
ROQBIJSP98,4,94
GZMZOMHR64,3,169
WHSVDEON49,2,100
UVWIZKBU76,9,101
